epoch,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
1,25.99802367393882,29.901611261883637,-0.011150518864848413,23.677404741078018,27.61742487459608,0.004803451343298848
2,25.995854819287082,29.86088369652451,-0.008397914487382696,23.785432319077266,27.781319559391186,-0.007043518689130224
3,25.9729546866843,29.767357820638633,-0.002091094826587314,23.839371123037594,27.808481575778465,-0.009013670199312207
4,25.996636658504457,29.795478168265287,-0.003985281076985148,23.746495173036603,27.762902860749413,-0.005708789458640284
5,25.920831358958804,29.72704098257531,0.0006215264971822787,23.822225300342442,27.792232951486557,-0.007834871987973502
6,25.93080499256264,29.739740712303536,-0.00023254758072721593,23.803884217319027,27.775059762797177,-0.006589747775447519
7,25.943840726807565,29.764888728252377,-0.0019248622108272162,23.783286169976297,27.775597039996022,-0.0066286908384287635
8,25.950840204701425,29.76623633384319,-0.0020155885779480354,23.777162212054783,27.773818455764893,-0.006499777923174799
9,25.875249545525143,29.6796277256,0.003806909188373675,23.81642495221154,27.79308068194268,-0.007896355737583072
10,25.990670452587043,29.761147770949087,-0.0016730270621112542,23.808448712561447,27.792342939916683,-0.00784284906523336
11,25.942949953737045,29.748335397451093,-0.0008107588106327501,23.817745704278725,27.800051771088487,-0.00840202235131704
12,25.87732173357365,29.680230795686008,0.003766424829056869,23.834956006320127,27.806878436719206,-0.008897335720913002
13,25.907629611550938,29.714298256424744,0.0014781254960175572,23.845887632956305,27.815767176758694,-0.009542446569348328
14,25.93302768608321,29.729975858038227,0.0004241845452445103,23.838392588492464,27.799987054802944,-0.008397327399106258
15,25.868691362899227,29.660969093657396,0.005059064888058629,23.82426708141089,27.80991958516347,-0.00911802747168644
