id,target_grade,grade_name,raw_severity
sample697.npy,0,Healthy,7.0
sample54.npy,3,Severe_Outbreak,81.0
sample2270.npy,0,Healthy,4.0
sample1401.npy,3,Severe_Outbreak,99.0
sample1901.npy,2,Moderate_Blight,43.0
sample326.npy,3,Severe_Outbreak,85.0
sample168.npy,2,Moderate_Blight,47.0
sample644.npy,3,Severe_Outbreak,83.0
sample99.npy,2,Moderate_Blight,39.0
sample633.npy,1,Early_Stress,23.0
sample83.npy,0,Healthy,5.0
sample231.npy,3,Severe_Outbreak,93.0
sample223.npy,2,Moderate_Blight,62.0
sample1934.npy,1,Early_Stress,21.0
sample2352.npy,3,Severe_Outbreak,77.0
sample1319.npy,0,Healthy,13.0
sample1189.npy,3,Severe_Outbreak,94.0
sample184.npy,1,Early_Stress,34.0
sample2694.npy,0,Healthy,13.0
sample2302.npy,2,Moderate_Blight,57.0
sample2123.npy,2,Moderate_Blight,55.0
sample1052.npy,0,Healthy,3.0
sample2003.npy,0,Healthy,3.0
sample29.npy,1,Early_Stress,22.0
sample183.npy,1,Early_Stress,25.0
sample1207.npy,3,Severe_Outbreak,100.0
sample2280.npy,3,Severe_Outbreak,77.0
sample1546.npy,2,Moderate_Blight,37.0
sample2304.npy,3,Severe_Outbreak,95.0
sample1716.npy,0,Healthy,11.0
sample874.npy,3,Severe_Outbreak,92.0
sample285.npy,0,Healthy,7.0
sample286.npy,1,Early_Stress,35.0
sample1063.npy,2,Moderate_Blight,63.0
sample1524.npy,2,Moderate_Blight,43.0
sample2572.npy,1,Early_Stress,25.0
sample677.npy,1,Early_Stress,31.0
sample374.npy,2,Moderate_Blight,59.0
sample1658.npy,3,Severe_Outbreak,69.0
sample48.npy,1,Early_Stress,35.0
sample951.npy,2,Moderate_Blight,36.0
sample2138.npy,2,Moderate_Blight,61.0
sample496.npy,3,Severe_Outbreak,74.0
sample271.npy,0,Healthy,0.0
sample1638.npy,3,Severe_Outbreak,100.0
sample2529.npy,0,Healthy,13.0
sample1252.npy,0,Healthy,8.0
sample666.npy,3,Severe_Outbreak,97.0
sample1997.npy,0,Healthy,1.0
sample539.npy,1,Early_Stress,33.0
sample2586.npy,3,Severe_Outbreak,88.0
sample1538.npy,3,Severe_Outbreak,66.0
sample1591.npy,3,Severe_Outbreak,98.0
sample2668.npy,3,Severe_Outbreak,75.0
sample774.npy,3,Severe_Outbreak,100.0
sample1398.npy,2,Moderate_Blight,44.0
sample1459.npy,3,Severe_Outbreak,100.0
sample106.npy,2,Moderate_Blight,64.0
sample241.npy,3,Severe_Outbreak,72.0
sample1471.npy,1,Early_Stress,24.0
sample799.npy,0,Healthy,2.0
sample1868.npy,3,Severe_Outbreak,97.0
sample590.npy,3,Severe_Outbreak,66.0
sample2148.npy,2,Moderate_Blight,49.0
sample2129.npy,0,Healthy,9.0
sample2268.npy,0,Healthy,7.0
sample1435.npy,3,Severe_Outbreak,84.0
sample876.npy,2,Moderate_Blight,40.0
sample643.npy,0,Healthy,9.0
sample673.npy,1,Early_Stress,18.0
sample1396.npy,2,Moderate_Blight,59.0
sample346.npy,2,Moderate_Blight,36.0
sample2495.npy,2,Moderate_Blight,46.0
sample1150.npy,3,Severe_Outbreak,95.0
sample1054.npy,3,Severe_Outbreak,90.0
sample1551.npy,2,Moderate_Blight,55.0
sample1479.npy,1,Early_Stress,25.0
sample1045.npy,3,Severe_Outbreak,98.0
sample632.npy,0,Healthy,12.0
sample778.npy,1,Early_Stress,22.0
sample1893.npy,0,Healthy,0.0
sample1044.npy,3,Severe_Outbreak,72.0
sample1840.npy,3,Severe_Outbreak,98.0
sample2078.npy,2,Moderate_Blight,42.0
sample1972.npy,3,Severe_Outbreak,86.0
sample1778.npy,2,Moderate_Blight,53.0
sample1966.npy,2,Moderate_Blight,38.0
sample1023.npy,0,Healthy,5.0
sample1811.npy,1,Early_Stress,35.0
sample272.npy,0,Healthy,2.0
sample686.npy,3,Severe_Outbreak,70.0
