id,nearest_id,similarity,label,nearest_label,same_label
sample697.npy,sample1633.npy,0.99996066,7,98,False
sample2270.npy,sample2136.npy,0.9999495,4,10,False
sample1401.npy,sample1670.npy,0.99995744,99,1,False
sample1901.npy,sample929.npy,0.9999657,43,86,False
sample326.npy,sample1063.npy,0.9999302,85,63,False
sample168.npy,sample2555.npy,0.9999543,47,17,False
sample644.npy,sample643.npy,0.9999391,83,9,False
sample99.npy,sample233.npy,0.99994427,39,94,False
sample633.npy,sample566.npy,0.99993324,23,72,False
sample83.npy,sample217.npy,0.9999789,5,57,False
sample231.npy,sample365.npy,0.99997646,93,60,False
sample223.npy,sample161.npy,0.9999539,62,35,False
sample1934.npy,sample2003.npy,0.99997604,21,3,False
sample2352.npy,sample2084.npy,0.99997264,77,51,False
sample1319.npy,sample1320.npy,0.9999402,13,25,False
sample1189.npy,sample1117.npy,0.9999842,94,5,False
sample184.npy,sample251.npy,0.9999662,34,3,False
sample2694.npy,sample2627.npy,0.99996275,13,11,False
sample2302.npy,sample2301.npy,0.99995536,57,1,False
sample2123.npy,sample2056.npy,0.99996024,55,69,False
sample1052.npy,sample1054.npy,0.9998866,3,90,False
sample2003.npy,sample1934.npy,0.99997604,3,21,False
sample183.npy,sample237.npy,0.9999383,25,100,False
sample2280.npy,sample1675.npy,0.99997914,77,11,False
sample1546.npy,sample1410.npy,0.9999728,37,24,False
sample2304.npy,sample292.npy,0.9998516,95,93,False
sample1716.npy,sample1654.npy,0.99995035,11,49,False
sample874.npy,sample676.npy,0.9999588,92,87,False
sample285.npy,sample1787.npy,0.99988174,7,54,False
sample286.npy,sample492.npy,0.999771,35,99,False
sample1063.npy,sample2581.npy,0.999958,63,29,False
sample1524.npy,sample1591.npy,0.9999369,43,98,False
sample2572.npy,sample2619.npy,0.99995184,25,2,False
sample677.npy,sample940.npy,0.99996275,31,26,False
sample374.npy,sample2118.npy,0.999934,59,39,False
sample1658.npy,sample1719.npy,0.9999574,69,46,False
sample48.npy,sample1042.npy,0.9997615,35,18,False
sample951.npy,sample944.npy,0.9999576,36,80,False
sample2138.npy,sample2071.npy,0.9999332,61,93,False
sample496.npy,sample2256.npy,0.9999419,74,56,False
sample271.npy,sample1795.npy,0.9998855,0,82,False
sample1638.npy,sample2484.npy,0.9999635,100,49,False
sample2529.npy,sample502.npy,0.999954,13,64,False
sample1252.npy,sample1253.npy,0.9999744,8,35,False
sample666.npy,sample398.npy,0.9999516,97,45,False
sample1997.npy,sample2178.npy,0.9999578,1,62,False
sample539.npy,sample70.npy,0.9999118,33,97,False
sample1538.npy,sample1404.npy,0.9998642,66,13,False
sample1591.npy,sample232.npy,0.9999432,98,58,False
sample2668.npy,sample152.npy,0.9999579,75,23,False
sample774.npy,sample830.npy,0.9999539,100,21,False
sample1398.npy,sample1733.npy,0.9999655,44,3,False
sample1459.npy,sample522.npy,0.99995154,100,14,False
sample106.npy,sample370.npy,0.9999379,64,34,False
sample241.npy,sample248.npy,0.9999577,72,50,False
sample1471.npy,sample1404.npy,0.99986225,24,13,False
sample799.npy,sample462.npy,0.9999613,2,41,False
sample1868.npy,sample1474.npy,0.99996406,97,23,False
sample590.npy,sample1896.npy,0.9999387,66,75,False
sample2129.npy,sample112.npy,0.99990815,9,72,False
sample2268.npy,sample2335.npy,0.99996215,7,12,False
sample1435.npy,sample1092.npy,0.99995583,84,53,False
sample876.npy,sample700.npy,0.9999288,40,11,False
sample643.npy,sample188.npy,0.9999489,9,53,False
sample673.npy,sample707.npy,0.9999529,18,46,False
sample1396.npy,sample1309.npy,0.9999701,59,19,False
sample346.npy,sample347.npy,0.99996334,36,8,False
sample2495.npy,sample116.npy,0.99991035,46,71,False
sample1150.npy,sample961.npy,0.9999809,95,1,False
sample1054.npy,sample1052.npy,0.9998866,90,3,False
sample1551.npy,sample1817.npy,0.99997437,55,78,False
sample1479.npy,sample1283.npy,0.9999719,25,35,False
sample1045.npy,sample1016.npy,0.99990183,98,52,False
sample632.npy,sample2482.npy,0.9999826,12,49,False
sample778.npy,sample504.npy,0.9999638,22,5,False
sample1893.npy,sample2150.npy,0.9999695,0,91,False
sample1044.npy,sample1022.npy,0.9999111,72,29,False
sample1840.npy,sample2489.npy,0.99991935,98,72,False
sample1972.npy,sample498.npy,0.9999867,86,24,False
sample1778.npy,sample649.npy,0.999965,53,15,False
sample1966.npy,sample1965.npy,0.99991804,38,25,False
sample1023.npy,sample680.npy,0.9999337,5,32,False
sample1811.npy,sample1541.npy,0.9999816,35,91,False
sample686.npy,sample2102.npy,0.9999748,70,8,False
sample1610.npy,sample2280.npy,0.99996585,47,77,False
sample2671.npy,sample83.npy,0.99997526,59,5,False
sample1326.npy,sample1013.npy,0.9999379,49,81,False
sample2151.npy,sample2084.npy,0.9999509,88,51,False
sample2244.npy,sample1976.npy,0.99997777,44,68,False
sample452.npy,sample616.npy,0.9999459,93,47,False
sample969.npy,sample1809.npy,0.9999474,39,65,False
sample1795.npy,sample648.npy,0.9999713,82,54,False
sample6.npy,sample2275.npy,0.9997177,32,22,False
sample2655.npy,sample1326.npy,0.9999276,12,49,False
sample256.npy,sample236.npy,0.9999554,27,62,False
sample1217.npy,sample1421.npy,0.9999665,32,79,False
sample1864.npy,sample1582.npy,0.99994767,85,61,False
sample1525.npy,sample1717.npy,0.9999502,47,86,False
sample1669.npy,sample1666.npy,0.9999586,42,73,False
sample628.npy,sample366.npy,0.99990296,98,64,False
sample920.npy,sample817.npy,0.9999714,5,51,False
sample2326.npy,sample1991.npy,0.99997085,84,92,False
sample1316.npy,sample1324.npy,0.9999655,81,91,False
sample798.npy,sample1096.npy,0.9998644,83,94,False
sample2453.npy,sample2147.npy,0.99997157,37,88,False
sample578.npy,sample2423.npy,0.9999582,11,69,False
sample1687.npy,sample1952.npy,0.99997586,29,94,False
sample1930.npy,sample512.npy,0.9999645,58,27,False
sample917.npy,sample889.npy,0.9999546,14,52,False
sample1793.npy,sample2635.npy,0.9999088,3,6,False
sample746.npy,sample922.npy,0.99998665,97,16,False
sample1593.npy,sample1450.npy,0.9999507,30,80,False
sample1836.npy,sample737.npy,0.99993527,58,57,False
sample382.npy,sample389.npy,0.9999653,77,59,False
sample565.npy,sample1704.npy,0.9999892,99,75,False
sample568.npy,sample757.npy,0.9999561,87,26,False
sample1752.npy,sample1756.npy,0.9999465,57,90,False
sample1704.npy,sample565.npy,0.9999892,75,99,False
sample1486.npy,sample2418.npy,0.99996334,6,8,False
sample2404.npy,sample1613.npy,0.99998087,26,65,False
sample855.npy,sample850.npy,0.9999459,35,71,False
sample487.npy,sample153.npy,0.99997026,2,52,False
sample1748.npy,sample2460.npy,0.9999486,61,46,False
sample684.npy,sample557.npy,0.9999523,75,70,False
sample903.npy,sample1105.npy,0.99997413,21,41,False
sample2504.npy,sample2494.npy,0.9999552,61,94,False
sample2144.npy,sample2278.npy,0.9999733,6,80,False
sample1111.npy,sample1177.npy,0.9999826,65,79,False
sample2158.npy,sample576.npy,0.9999464,32,23,False
sample1710.npy,sample1387.npy,0.99994665,9,15,False
sample1558.npy,sample1485.npy,0.99997413,89,71,False
sample1367.npy,sample833.npy,0.9999616,44,76,False
sample2195.npy,sample1993.npy,0.9999711,39,81,False
sample429.npy,sample2464.npy,0.99995875,52,27,False
sample943.npy,sample940.npy,0.99995744,38,26,False
sample1449.npy,sample1575.npy,0.9999645,11,20,False
sample2680.npy,sample356.npy,0.99993074,81,16,False
sample1309.npy,sample1396.npy,0.9999701,19,59,False
sample787.npy,sample756.npy,0.99995464,6,14,False
sample1270.npy,sample1132.npy,0.9999209,52,97,False
sample264.npy,sample197.npy,0.99988544,92,8,False
sample1681.npy,sample1279.npy,0.9999726,18,38,False
sample459.npy,sample2578.npy,0.99994785,94,49,False
sample1732.npy,sample1866.npy,0.99993217,2,51,False
sample323.npy,sample302.npy,0.9999334,68,78,False
sample2257.npy,sample2048.npy,0.9999555,34,4,False
sample119.npy,sample435.npy,0.99992883,52,68,False
sample714.npy,sample482.npy,0.9999725,100,1,False
sample2273.npy,sample1403.npy,0.9999449,86,60,False
sample646.npy,sample448.npy,0.9999554,62,19,False
sample1077.npy,sample972.npy,0.9999834,71,83,False
sample2111.npy,sample753.npy,0.9999547,82,95,False
sample1560.npy,sample1695.npy,0.9999397,91,79,False
sample1240.npy,sample1175.npy,0.99997306,2,25,False
sample2294.npy,sample482.npy,0.99995065,38,1,False
sample1262.npy,sample895.npy,0.99998474,5,60,False
sample1756.npy,sample1752.npy,0.9999465,90,57,False
sample655.npy,sample1592.npy,0.9999463,13,49,False
sample1376.npy,sample1577.npy,0.9999355,88,31,False
sample1426.npy,sample2177.npy,0.9998412,54,0,False
sample1773.npy,sample2063.npy,0.99994314,60,4,False
sample961.npy,sample1150.npy,0.9999809,1,95,False
sample570.npy,sample574.npy,0.9999553,65,80,False
sample923.npy,sample888.npy,0.9999261,64,5,False
sample1590.npy,sample1595.npy,0.99995255,5,47,False
sample2613.npy,sample355.npy,0.99997777,20,39,False
sample2449.npy,sample1379.npy,0.9999142,11,88,False
sample130.npy,sample1952.npy,0.9999517,49,94,False
sample802.npy,sample666.npy,0.999949,11,97,False
sample993.npy,sample981.npy,0.9999506,9,81,False
sample2533.npy,sample2602.npy,0.99996746,87,2,False
sample1251.npy,sample1250.npy,0.9999769,28,46,False
sample2107.npy,sample2375.npy,0.999976,65,69,False
sample186.npy,sample211.npy,0.99993944,35,33,False
sample2259.npy,sample844.npy,0.99993277,36,3,False
sample558.npy,sample491.npy,0.99992645,32,29,False
sample1017.npy,sample1925.npy,0.99995166,28,30,False
sample1553.npy,sample1485.npy,0.9999685,100,71,False
sample1580.npy,sample1452.npy,0.9999576,41,2,False
sample2322.npy,sample2188.npy,0.99994713,4,84,False
sample277.npy,sample440.npy,0.9999347,86,19,False
sample1926.npy,sample177.npy,0.9998766,44,69,False
sample609.npy,sample405.npy,0.99994767,35,61,False
sample706.npy,sample2537.npy,0.99997115,70,55,False
sample410.npy,sample611.npy,0.9999521,61,41,False
sample1849.npy,sample1715.npy,0.99997413,81,51,False
sample1935.npy,sample1943.npy,0.99996907,69,51,False
sample1675.npy,sample2280.npy,0.99997914,11,77,False
sample2677.npy,sample688.npy,0.9999488,7,24,False
sample2610.npy,sample2184.npy,0.999954,33,71,False
sample1613.npy,sample2404.npy,0.99998087,65,26,False
sample206.npy,sample405.npy,0.999954,15,61,False
sample2478.npy,sample2533.npy,0.9999077,63,87,False
sample217.npy,sample83.npy,0.9999789,57,5,False
sample1199.npy,sample1200.npy,0.99998504,41,33,False
sample838.npy,sample208.npy,0.9995788,16,100,False
sample2266.npy,sample1727.npy,0.99997145,63,21,False
sample1048.npy,sample2565.npy,0.9999211,44,98,False
sample379.npy,sample376.npy,0.9999589,64,61,False
sample188.npy,sample643.npy,0.9999489,53,9,False
sample2370.npy,sample2437.npy,0.9999769,78,54,False
sample1310.npy,sample1299.npy,0.9999132,51,37,False
sample1945.npy,sample2211.npy,0.9999645,12,46,False
sample2713.npy,sample867.npy,0.99993604,89,54,False
sample2408.npy,sample2341.npy,0.9999541,38,66,False
sample1584.npy,sample1517.npy,0.99993116,54,50,False
sample705.npy,sample637.npy,0.99993813,50,26,False
sample769.npy,sample836.npy,0.99997926,16,11,False
sample612.npy,sample344.npy,0.99993294,69,44,False
sample834.npy,sample1096.npy,0.99984217,70,94,False
sample1723.npy,sample1321.npy,0.9999597,6,97,False
sample2127.npy,sample2330.npy,0.99990916,41,0,False
sample2178.npy,sample1997.npy,0.9999578,62,1,False
sample1174.npy,sample828.npy,0.99998796,16,74,False
sample1158.npy,sample1105.npy,0.9999702,44,41,False
sample309.npy,sample2429.npy,0.9998647,66,77,False
sample973.npy,sample2549.npy,0.99998295,41,29,False
sample2564.npy,sample1654.npy,0.99996084,93,49,False
sample489.npy,sample220.npy,0.9999606,83,14,False
sample1974.npy,sample1694.npy,0.99994624,81,51,False
sample1602.npy,sample1666.npy,0.99997014,9,73,False
sample2619.npy,sample2572.npy,0.99995184,2,25,False
sample1116.npy,sample1117.npy,0.99998516,4,5,False
sample1307.npy,sample1110.npy,0.9999804,28,36,False
sample852.npy,sample2350.npy,0.9999743,62,66,False
sample2361.npy,sample2064.npy,0.99994123,23,36,False
sample2356.npy,sample507.npy,0.99994296,60,68,False
sample2074.npy,sample2274.npy,0.9999339,41,33,False
sample1278.npy,sample1879.npy,0.9999735,40,53,False
sample1575.npy,sample1449.npy,0.9999645,20,11,False
sample1346.npy,sample1893.npy,0.99994254,35,0,False
sample595.npy,sample238.npy,0.9999548,66,91,False
sample823.npy,sample2157.npy,0.9999366,32,1,False
sample328.npy,sample2584.npy,0.9998232,27,23,False
sample1160.npy,sample2649.npy,0.9999571,55,70,False
sample1385.npy,sample1659.npy,0.9999561,86,14,False
sample1446.npy,sample1513.npy,0.9999254,5,56,False
sample1166.npy,sample1102.npy,0.99974686,32,3,False
sample1918.npy,sample1655.npy,0.99995965,54,17,False
sample2664.npy,sample2530.npy,0.99996257,47,46,False
sample1167.npy,sample1298.npy,0.99988353,64,20,False
sample2678.npy,sample358.npy,0.9999103,67,7,False
sample2318.npy,sample2184.npy,0.9999542,19,71,False
sample734.npy,sample395.npy,0.9999177,44,88,False
sample307.npy,sample1753.npy,0.99987644,9,25,False
